keycode,common,native,chrome,firefox,MSIE,opera,safari
0,unknown,,,,,menu,
8,backspace,,,,,,
9,tab,,,,,,
10,,enter,,,,,
13,enter,,,,,,
16,shift,,,,,,
17,ctrl,,,,,,
18,alt,,,,,,
19,pause,,,,,,
20,caps_lock,,,,,,
24,,quote,,,,,
27,escape,,,,,,
32,space,,,,,,
33,page_up,,,,,,
34,page_down,,,,,,
35,end,,,,,,
36,home,,,,,,
37,left,,,,,,
38,up,,,,,,
39,right,,,,,,
40,down,,,,,,
44,,comma,,,,,
45,insert,dash,,,,,
46,delete,period,,,,,
47,,slash,,,,,
48,0,,,,,,
49,1,,,,,,
50,2,,,,,,
51,3,,,,,,
52,4,,,,,,
53,5,,,,,,
54,6,,,,,,
55,7,,,,,,
56,8,,,,,,
57,9,,,,,,
59,semicolon,,,semicolon,,semicolon,
61,equals,,,,,equals,
65,a,,,,,,
66,b,,,,,,
67,c,,,,,,
68,d,,,,,,
69,e,,,,,,
70,f,,,,,,
71,g,,,,,,
72,h,,,,,,
73,i,,,,,,
74,j,,,,,,
75,k,,,,,,
76,l,,,,,,
77,m,,,,,,
78,n,,,,,,
79,o,,,,,,
80,p,,,,,,
81,q,,,,,,
82,r,,,,,,
83,s,,,,,,
84,t,,,,,,
85,u,,,,,,
86,v,,,,,,
87,w,,,,,,
88,x,,,,,,
89,y,,,,,,
90,z,,,,,,
91,left_windows,open_bracket,windows,windows,windows,,windows
92,right_windows,back_slash,,,,,
93,,close_bracket,menu,menu,menu,,menu
96,numpad_0,,,,,,
97,numpad_1,,,,,,
98,numpad_2,,,,,,
99,numpad_3,,,,,,
100,numpad_4,,,,,,
101,numpad_5,,,,,,
102,numpad_6,,,,,,
103,numpad_7,,,,,,
104,numpad_8,,,,,,
105,numpad_9,,,,,,
106,numpad_multiply,,,,,,
107,numpad_add,,,equals,,,
109,numpad_subtract,,,dash,,dash,
110,numpad_decimal,,,,,,
111,numpad_divide,,,,,,
112,f1,,,,,,
113,f2,,,,,,
114,f3,,,,,,
115,f4,,,,,,
116,f5,,,,,,
117,f6,,,,,,
118,f7,,,,,,
119,f8,,,,,,
120,f9,,,,,,
121,f10,,,,,,
122,f11,,,,,,
123,f12,,,,,,
127,,delete,,,,,
129,,back_quote,,,,,
144,num_lock,,,,,,
145,scroll_lock,,,,,,
151,,8,,,,,
152,,quote,,,,,
154,,print_screen,,,,,
155,,insert,,,,,
156,,help,,,,,
157,,alt,,,,,
160,,comma,,,,,
161,,open_bracket,,,,,
162,,close_bracket,,,,,
186,,,semicolon,,semicolon,,semicolon
187,,,equals,,equals,,equals
188,comma,,,,,,
189,dash,,dash,,dash,,dash
190,period,,,,,,
191,slash,,,,,,
192,back_quote,,,,,,
219,open_bracket,,,,,windows,
220,back_slash,,,,,,
221,close_bracket,,,,,,
222,quote,,,,,,
224,left_apple,,,,,,
512,,2,,,,,
513,,semicolon,,,,,
515,,4,,,,,
517,,1,,,,,
519,,9,,,,,
520,,3,,,,,
521,,equals,,,,,
522,,0,,,,,
523,,dash,,,,,
524,,windows,,,,,
525,,menu,,,,,
